Semester;AnkerID (veranstid);Veranstaltungstitel;Abschluss;AbschlussTxT;Studiengang;StudiengangTxT;Vertiefung;Schwerpunkt;SchwerpunktTxt;KzFa;KzFaTxt;PO-Version;Porgnr;Pordnr;Prüfungsnr.;Prüfungstext
20242;1039532;A Alb P 2 Variationstypologie Modulprüfung;88;Master;485;Albanologie;---;M0;;H;Hauptfach;2019;10162792;6074549;10299;Modulprüfung zum Modul: Variationstypologie
20242;1039532;MA Alb P 2 Variationstypologie Modulprüfung;88;Master;485;Albanologie;G20;00;;H;Hauptfach;-1;10162793;6081618;20299;Modulprüfung zum Modul: Variationstypologie
20242;1039533;MA Alb P 4 Strukturelle Linguistik des Albanischen I Modulprüfung;88;Master;485;Albanologie;---;M0;;H;Hauptfach;2019;10162798;6074557;10499;Modulprüfung zum Modul: Strukturelle Linguistik des Albanischen I
20242;1039533;MA Alb P 4 Strukturelle Linguistik des Albanischen I Modulprüfung;88;Master;485;Albanologie;G20;00;;H;Hauptfach;-1;10162799;6081626;20499;Modulprüfung zum Modul: Strukturelle Linguistik des Albanischen I
20242;1039534;MA Alb P 8 Sprachkontakt Modulprüfung;88;Master;485;Albanologie;---;M0;;H;Hauptfach;2019;10162800;6074573;10899;Modulprüfung zum Modul: Sprachkontakt
20242;1039534;MA Alb P 8 Sprachkontakt Modulprüfung;88;Master;485;Albanologie;G20;00;;H;Hauptfach;-1;10162801;6081642;20899;Modulprüfung zum Modul: Sprachkontakt
20242;1039546;MA Alb WP 1 Italienisch Modulprüfung;88;Master;485;Albanologie;---;M0;;H;Hauptfach;2019;10162804;6074586;20199;Modulprüfung zum Modul: Italienisch
20242;1039546;MA Alb WP 1 Italienisch Modulprüfung;88;Master;485;Albanologie;---;M0;;H;Hauptfach;2019;10162805;6074586;20199;Modulprüfung zum Modul: Italienisch
20242;1039546;MA Alb WP 1 Italienisch Modulprüfung;88;Master;485;Albanologie;---;M0;;H;Hauptfach;2019;10162806;6074586;20199;Modulprüfung zum Modul: Italienisch
20242;1039920;MA Alb P 3 Sprache und Kultur I Modulprüfung;88;Master;485;Albanologie;---;M0;;H;Hauptfach;2019;10162796;6074553;10399;Modulprüfung zum Modul: Sprache und Kultur I
20242;1039920;MA Alb P 3 Sprache und Kultur I Modulprüfung;88;Master;485;Albanologie;G20;00;;H;Hauptfach;-1;10162797;6081622;20399;Modulprüfung zum Modul: Sprache und Kultur I
20242;1040866;"Italienisch NF ""SLK""/DaZ/BA Rom.: Grundstufe Niveau 1";88;Master;485;Albanologie;---;M0;;H;Hauptfach;2019;10158075;6074586;20199;Modulprüfung zum Modul: Italienisch
20252;1090254;Neugriechisch Ib;88;Master;485;Albanologie;---;M0;;H;Hauptfach;2019;10210965;6074602;20599;Modulprüfung zum Modul: Neugriechisch
20252;1090581;MA Alb P 2 Variationstypologie Modulprüfung;88;Master;485;Albanologie;---;M0;;H;Hauptfach;2019;10233181;6074549;10299;Modulprüfung zum Modul: Variationstypologie
20252;1090581;MA Alb P 2 Variationstypologie Modulprüfung;88;Master;485;Albanologie;G20;00;;H;Hauptfach;-1;10233182;6081618;20299;Modulprüfung zum Modul: Variationstypologie
20252;1090582;MA Alb P 4 Strukturelle Linguistik des Albanischen I Modulprüfung;88;Master;485;Albanologie;---;M0;;H;Hauptfach;2019;10233185;6074557;10499;Modulprüfung zum Modul: Strukturelle Linguistik des Albanischen I
20252;1090582;MA Alb P 4 Strukturelle Linguistik des Albanischen I Modulprüfung;88;Master;485;Albanologie;G20;00;;H;Hauptfach;-1;10233186;6081626;20499;Modulprüfung zum Modul: Strukturelle Linguistik des Albanischen I
20252;1090583;MA Alb P 8 Sprachkontakt Modulprüfung;88;Master;485;Albanologie;---;M0;;H;Hauptfach;2019;10233195;6074573;10899;Modulprüfung zum Modul: Sprachkontakt
20252;1090583;MA Alb P 8 Sprachkontakt Modulprüfung;88;Master;485;Albanologie;G20;00;;H;Hauptfach;-1;10233196;6081642;20899;Modulprüfung zum Modul: Sprachkontakt
20252;1090594;MA Alb WP 1 Italienisch Modulprüfung;88;Master;485;Albanologie;---;M0;;H;Hauptfach;2019;10233199;6074586;20199;Modulprüfung zum Modul: Italienisch
20252;1090594;MA Alb WP 1 Italienisch Modulprüfung;88;Master;485;Albanologie;---;M0;;H;Hauptfach;2019;10233200;6074586;20199;Modulprüfung zum Modul: Italienisch
20252;1090594;MA Alb WP 1 Italienisch Modulprüfung;88;Master;485;Albanologie;---;M0;;H;Hauptfach;2019;10233201;6074586;20199;Modulprüfung zum Modul: Italienisch
20252;1090955;MA Alb P 3 Sprache und Kultur I Modulprüfung;88;Master;485;Albanologie;---;M0;;H;Hauptfach;2019;10233183;6074553;10399;Modulprüfung zum Modul: Sprache und Kultur I
20252;1090955;MA Alb P 3 Sprache und Kultur I Modulprüfung;88;Master;485;Albanologie;---;M0;;H;Hauptfach;2019;10238037;6074553;10399;Modulprüfung zum Modul: Sprache und Kultur I
