Semester;AnkerID (veranstid);Veranstaltungsnummer;Veranstaltungstitel;Abschluss;AbschlussTxT;Studiengang;StudiengangTxT;Vertiefung;Schwerpunkt;SchwerpunktTxt;KzFa;KzFaTxt;PO-Version;Prüfungsnr.;Prüfungstext
20242;1029996;14067;Examenskurs Narrativik  (für alle Lehrämter);33;Lehramt Realschule (modularisiert);008;Englische Philologie;---;U2;;U;Unterrichtsfach;2010;20102;Examenskurs Literaturwissenschaft
20242;1029996;14067;Examenskurs Narrativik  (für alle Lehrämter);35;Lehramt Gymnasium (modularisiert);008;Englische Philologie;---;U3;;U;Unterrichtsfach;2010;20102;Examenskurs Literaturwissenschaft
20242;1029996;14067;Examenskurs Narrativik  (für alle Lehrämter);35;Lehramt Gymnasium (modularisiert);008;Englische Philologie;---;U3;;U;Unterrichtsfach;2010;20699;"Modulprüfung ""Ergänzungsmodul Literaturwissenschaft 2"""
20242;1029997;13967;Einführung in die Literaturwissenschaft (3-stündig mit freiwilligem zusätzlichen Tutorium);33;Lehramt Realschule (modularisiert);008;Englische Philologie;---;U2;;U;Unterrichtsfach;2010;10101;Einführung in die Literaturwissenschaft
20242;1029997;13967;Einführung in die Literaturwissenschaft (3-stündig mit freiwilligem zusätzlichen Tutorium);35;Lehramt Gymnasium (modularisiert);008;Englische Philologie;---;U3;;U;Unterrichtsfach;2010;10101;Einführung in die Literaturwissenschaft
20242;1029997;13967;Einführung in die Literaturwissenschaft (3-stündig mit freiwilligem zusätzlichen Tutorium);WW;WW;WW;WIWI-Pool;;;;H;Hauptfach;0;3820301;Einführung in die Literaturwissenschaft (Proseminar)
20242;1030014;13362;"VOLL &#8211; Wie schreibe ich eine Hausarbeit? Einführung in das wissenschaftliche Schreiben";83;Bachelor;513;Sprache, Literatur und Kultur;---;N3;;N;Nebenfach;2009;22114;Begleitkurs zu Themen der Literaturwissenschaft: m
20242;1030014;13362;"VOLL &#8211; Wie schreibe ich eine Hausarbeit? Einführung in das wissenschaftliche Schreiben";83;Bachelor;513;Sprache, Literatur und Kultur;---;N3;;N;Nebenfach;2009;22116;Begleitkurs zu Themen der Literaturwissenschaft: n
20242;1030014;13362;"VOLL &#8211; Wie schreibe ich eine Hausarbeit? Einführung in das wissenschaftliche Schreiben";83;Bachelor;513;Sprache, Literatur und Kultur;---;N3;;N;Nebenfach;2009;22118;Begleitkurs zu Themen der Literaturwissenschaft: o
20242;1030014;13362;"VOLL &#8211; Wie schreibe ich eine Hausarbeit? Einführung in das wissenschaftliche Schreiben";83;Bachelor;513;Sprache, Literatur und Kultur;---;N3;;N;Nebenfach;2009;22120;Begleitkurs zu Themen der Literaturwissenschaft: p
20242;1030014;13362;"VOLL &#8211; Wie schreibe ich eine Hausarbeit? Einführung in das wissenschaftliche Schreiben";83;Bachelor;513;Sprache, Literatur und Kultur;---;N3;;N;Nebenfach;2009;23114;Begleitkurs zu Themen der Linguistik: m
20242;1030014;13362;"VOLL &#8211; Wie schreibe ich eine Hausarbeit? Einführung in das wissenschaftliche Schreiben";83;Bachelor;513;Sprache, Literatur und Kultur;---;N3;;N;Nebenfach;2009;24114;Begleitkurs zu Themen der Kultur- und Medienwissenschaften: m
20242;1030014;13362;"VOLL &#8211; Wie schreibe ich eine Hausarbeit? Einführung in das wissenschaftliche Schreiben";83;Bachelor;513;Sprache, Literatur und Kultur;---;N3;;N;Nebenfach;2009;24116;Begleitkurs zu Themen der Kultur- und Medienwissenschaften: n
20242;1030017;16681;Einführung in die medizinische Biometrie;83;Bachelor;237;Statistik;---;H2;;H;Hauptfach;2021;20299;Modulprüfung zum Modul: Einführung in die Biometrie
20242;1030017;16681;Einführung in die medizinische Biometrie;83;Bachelor;237;Statistik;---;N3;;N;Nebenfach;2021;20799;Modulprüfung zum Modul: Einführung in die Biometrie
20242;1030017;16681;Einführung in die medizinische Biometrie;83;Bachelor;237;Statistik;105;N2;;N;Nebenfach;2021;20999;Modulprüfung zum Modul: Einführung in die Biometrie
20242;1030017;16681;Einführung in die medizinische Biometrie;83;Bachelor;237;Statistik;149;N3;;N;Nebenfach;2021;20799;Modulprüfung zum Modul: Einführung in die Biometrie
20242;1030019;16683;Wirtschafts- und Sozialstatistik;83;Bachelor;237;Statistik;---;H2;;H;Hauptfach;2021;20399;Modulprüfung zum Modul: Wirtschafts- und Sozialstatistik
20242;1030019;16683;Wirtschafts- und Sozialstatistik;83;Bachelor;237;Statistik;---;N3;;N;Nebenfach;2021;20599;Modulprüfung zum Modul: Wirtschafts- und Sozialstatistik
20242;1030019;16683;Wirtschafts- und Sozialstatistik;83;Bachelor;237;Statistik;149;N3;;N;Nebenfach;2021;20199;Modulprüfung zum Modul: Wirtschafts- und Sozialstatistik
20242;1030020;16684;Statistical Inference;88;Master;276;Wirtschafts- / Finanz- und Versicherungsmathematik;---;M0;;H;Hauptfach;2021;10299;Modulprüfung zum Modul: Statistical Inference
20242;1030020;16684;Statistical Inference;88;Master;535;Statistics and Data Science;---;M0;;H;Hauptfach;2021;10399;Modulprüfung zum Modul: Statistical Inference
20242;1030021;16685;Fortgeschrittene mathematische Methoden in der Statistik;83;Bachelor;237;Statistik;---;H2;;H;Hauptfach;2021;10799;Modulprüfung zum Modul: Fortgeschrittene mathematische Methoden in der Statistik
